seq	मण्डलम्	सूक्तम्	अष्टकम्	अध्यायः	सूक्तम्
969	१०	१३२	०८	०७	१३
970	१०	१३३	०८	०७	१४
971	१०	१३४	०८	०७	१५
972	१०	१३५	०८	०७	१६
973	१०	१३६	०८	०७	१७
974	१०	१३७	०८	०७	१८
975	१०	१३८	०८	०७	१९
976	१०	१३९	०८	०७	२०
977	१०	१४०	०८	०७	२१
978	१०	१४१	०८	०७	२२
979	१०	१४२	०८	०७	२३
980	१०	१४३	०८	०८	०१
981	१०	१४४	०८	०८	०२
982	१०	१४५	०८	०८	०३
983	१०	१४६	०८	०८	०४
984	१०	१४७	०८	०८	०५
985	१०	१४८	०८	०८	०६
986	१०	१४९	०८	०८	०७
987	१०	१५०	०८	०८	०८
988	१०	१५१	०८	०८	०९
989	१०	१५२	०८	०८	१०
990	१०	१५३	०८	०८	११
991	१०	१५४	०८	०८	१२
992	१०	१५५	०८	०८	१३
993	१०	१५६	०८	०८	१४
994	१०	१५७	०८	०८	१५
995	१०	१५८	०८	०८	१६
996	१०	१५९	०८	०८	१७
997	१०	१६०	०८	०८	१८
998	१०	१६१	०८	०८	१९
999	१०	१६२	०८	०८	२०
1000	१०	१६३	०८	०८	२१
1001	१०	१६४	०८	०८	२२
1002	१०	१६५	०८	०८	२३
1003	१०	१६६	०८	०८	२४
1004	१०	१६७	०८	०८	२५
1005	१०	१६८	०८	०८	२६
1006	१०	१६९	०८	०८	२७
1007	१०	१७०	०८	०८	२८
1008	१०	१७१	०८	०८	२९
1009	१०	१७२	०८	०८	३०
1010	१०	१७३	०८	०८	३१
1011	१०	१७४	०८	०८	३२
1012	१०	१७५	०८	०८	३३
1013	१०	१७६	०८	०८	३४
1014	१०	१७७	०८	०८	३५
1015	१०	१७८	०८	०८	३६
1016	१०	१७९	०८	०८	३७
1017	१०	१८०	०८	०८	३८
1018	१०	१८१	०८	०८	३९
1019	१०	१८२	०८	०८	४०
1020	१०	१८३	०८	०८	४१
1021	१०	१८४	०८	०८	४२
1022	१०	१८५	०८	०८	४३
1023	१०	१८६	०८	०८	४४
1024	१०	१८७	०८	०८	४५
1025	१०	१८८	०८	०८	४६
1026	१०	१८९	०८	०८	४७
1027	१०	१९०	०८	०८	४८
1028	१०	१९१	०८	०८	४९
